Temps Ecoulé,00:01:00,00:02:00,00:03:00,00:04:00,00:05:00,00:06:00,00:07:00,00:08:00,00:09:00,00:10:00,00:11:00,00:12:00,00:13:00,00:14:00,00:15:00,00:16:00,00:17:00,00:18:00,00:19:00,00:20:00,00:21:00,00:22:00,00:23:00,00:24:00,00:25:00,00:26:00,00:27:00,00:28:00,00:29:00,00:30:00
Temps Ecoulé seconde,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Ennemi apparition,6,12,18,24,30,36,42,48,54,60,6,12,18,24,30,36,42,48,54,60,,,,,,,,,,
Variation Max,3,6,9,14,18,22,28,40,50,60,3,6,9,14,18,22,28,40,50,60,,,,,,,,,,
Total Max simultané à l'écran,9,18,27,38,48,58,70,88,104,120,129,138,147,158,168,178,190,208,224,240,249,258,267,278,288,298,310,328,344,360
Addition phase,50,,,250,,,,500,,,50,,,250,,,,500,,,,,,,,,,,,
Total Min,86,,,382,,,,662,,,,,,,,,,,,,,,,,,,,,,
Total Max,104,,,464,,,,812,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facteur d'apparition,Jour 1,Jour 2,Jour 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
